timestamp,date,category,headline,severity,severity_score,impact_score,price_impact_bps,market_context,affected_regions,duration_days,source,source_reliability,verified,is_related,gpr_level
2020-01-08 03:13:30,2020-01-08,inventory_report,Floating storage levels lower off Latin America,moderate,2,0.34,26.0,Signal of market contango/backwardation,"[np.str_('US Gulf Coast'), np.str_('Global')]",4,market_calibrated_advanced,0.87,True,False,96.0
2020-01-09 02:36:46,2020-01-09,inventory_report,Floating storage levels unchanged off US Gulf Coast,moderate,2,0.263,12.4,Signal of market contango/backwardation,"[np.str_('Global'), np.str_('US Gulf Coast')]",2,market_calibrated_advanced,0.92,True,False,99.0
2020-01-09 16:07:34,2020-01-09,geopolitical_tension,Diplomatic tensions escalate between Libya and Venezuela,high,3,0.423,99.2,Risk premium increases on supply disruption fears,[np.str_('Middle East')],39,market_calibrated_advanced,0.98,True,False,99.0
2020-01-15 10:55:58,2020-01-15,trade_flow_disruption,Shipping lane disruption near Bab el-Mandeb,critical,4,0.578,38.0,"Forces rerouting, increases transit times","[np.str_('Strait of Hormuz'), np.str_('South China Sea'), np.str_('Red Sea')]",19,market_calibrated_advanced,0.84,True,False,105.0
2020-01-18 21:55:32,2020-01-18,trade_flow_disruption,Insurance premiums surge for South China Sea tanker transits,high,3,0.572,46.7,"Increases shipping costs, may deter voyages",[np.str_('Strait of Hormuz')],13,market_calibrated_advanced,0.88,False,False,113.0
2020-01-21 16:43:27,2020-01-21,geopolitical_tension,Energy security summit addresses Global supply concerns,moderate,2,0.684,76.5,Coordinated response to supply risks,[np.str_('Asia Pacific')],34,market_calibrated_advanced,0.97,True,False,121.0
2020-01-21 21:57:02,2020-01-21,inventory_report,Cushing storage levels approach operational minimum,moderate,2,0.455,58.5,Delivery point concerns for WTI contract,"[np.str_('US Gulf Coast'), np.str_('Global')]",4,market_calibrated_advanced,0.76,True,False,121.0
2020-01-25 12:31:51,2020-01-25,sanctions,EU extends sanctions framework on Kuwait energy exports,high,3,0.857,70.5,Reduces available supply to European markets,"[np.str_('Middle East'), np.str_('Caspian Region'), np.str_('Global')]",61,market_calibrated_advanced,0.92,True,False,127.0
2020-01-27 13:51:04,2020-01-27,production_policy,Non-OPEC production growth revised higher,moderate,2,0.885,162.5,Shifts market share expectations,"[np.str_('Middle East'), np.str_('Global')]",18,market_calibrated_advanced,0.85,True,False,138.0
2020-01-30 09:25:33,2020-01-30,production_policy,European Union output disrupted by weather at Zuluf,high,3,0.911,82.0,Temporary supply reduction,[np.str_('Global')],57,market_calibrated_advanced,0.74,True,False,147.0
2020-01-31 16:48:19,2020-01-31,infrastructure,Port congestion delays 29 tankers at Rotterdam,moderate,2,0.654,79.2,Logistical bottleneck affecting deliveries,"[np.str_('North Sea'), np.str_('Middle East')]",9,market_calibrated_advanced,0.73,False,False,156.0
2020-01-31 20:22:15,2020-01-31,geopolitical_tension,Diplomatic tensions escalate between Iran and China,high,3,0.746,179.9,Risk premium increases on supply disruption fears,[np.str_('Asia Pacific')],43,market_calibrated_advanced,0.99,True,False,156.0
2020-02-01 04:35:34,2020-02-01,infrastructure,Major pipeline maintenance reduces Global flows by 1952,low,1,0.7,81.8,Temporary but planned supply reduction,[np.str_('Middle East')],3,market_calibrated_advanced,0.89,True,False,174.0
2020-02-01 04:37:18,2020-02-01,sanctions,EU extends sanctions framework on Venezuela energy exports,high,3,1.0,113.4,Reduces available supply to European markets,[np.str_('Global')],22,market_calibrated_advanced,0.94,True,False,174.0
2020-02-01 12:49:27,2020-02-01,production_policy,USA announces voluntary production cut extension,high,3,1.0,152.8,Tightens supply outlook,[np.str_('Global')],26,market_calibrated_advanced,0.89,True,False,174.0
2020-02-02 00:17:31,2020-02-02,infrastructure,Port congestion delays 49 tankers at Basra,moderate,2,0.567,97.3,Logistical bottleneck affecting deliveries,"[np.str_('Middle East'), np.str_('North Sea'), np.str_('US Gulf Coast')]",1,market_calibrated_advanced,0.81,True,True,160.0
2020-02-02 04:09:09,2020-02-02,inventory_report,China crude inventories show higher trend,high,3,0.527,21.1,Indicates demand trajectory in largest importer,[np.str_('Global')],3,market_calibrated_advanced,0.84,True,False,200.0
2020-02-02 21:16:08,2020-02-02,infrastructure,New pipeline capacity comes online in Red Sea,moderate,2,0.821,67.0,Improves supply chain efficiency,[np.str_('Middle East')],1,market_calibrated_advanced,0.78,True,False,200.0
2020-02-03 06:37:33,2020-02-03,inventory_report,Floating storage levels lower off Strait of Hormuz,high,3,0.663,97.4,Signal of market contango/backwardation,"[np.str_('US Gulf Coast'), np.str_('Global')]",2,market_calibrated_advanced,0.89,True,False,200.0
2020-02-03 16:09:16,2020-02-03,inventory_report,Cushing storage levels approach operational minimum,moderate,2,0.315,48.9,Delivery point concerns for WTI contract,[np.str_('US Gulf Coast')],4,market_calibrated_advanced,0.89,True,True,160.0
2020-02-05 13:25:44,2020-02-05,infrastructure,Refinery outage reduces crude demand in Latin America,high,3,0.808,43.7,Reduces crude intake temporarily,[np.str_('Middle East')],11,market_calibrated_advanced,0.84,True,False,200.0
